ID,First_Name,Last_Name,Family_id,ID_cnic,Gender
61,Caleb,Yaqoot,61,32163-9963068-1,M
62,Cassem,Owais,62,32164-9963069-1,M
63,Cemal,Juhaym,63,32165-9963070-1,M
64,Codei,Darim,64,32166-9963071-1,M
65,Coman,Abbad,65,32167-9963072-1,M
66,Chishti,Iyaas,66,32168-9963073-1,M
67,Changez,Madani,67,32169-9963074-1,M
68,Cheekoo,Sabur,68,32170-9963075-1,M
69,Cheherazad,Faaz,69,32171-9963076-1,M
70,Daamin,Ilan,70,32172-9963077-1,M
71,Daanish,Qays,71,32173-9963078-1,M
72,Dabbah,Rabar,72,32174-9963079-1,M
73,Daghfal,Hadee,73,32175-9963080-1,M
74,Dakhil,Aaqil,74,32176-9963081-1,M
75,Dameer,Daamin,75,32177-9963082-1,M
76,Damurah,Ghazi,76,32178-9963083-1,M
77,Daniel,Walid,77,32179-9963084-1,M
78,Danish,Yahya,78,32180-9963085-1,M
79,Daniyal,Ihtsham,79,32181-9963086-1,M
80,Darim,Nadhir,80,32182-9963087-1,M
81,Dawar,Cal,81,32183-9963088-1,M
82,Dawid,Zarar,82,32184-9963089-1,M
83,Dawlah,Gulab,83,32185-9963090-1,M
84,Dawoud,Basharat,84,32186-9963091-1,M
85,Dayyan,Uqbah,85,32187-9963092-1,M
86,Dean,Behzad,86,32188-9963093-1,M
87,Deen,Qatadah,87,32189-9963094-1,M
88,Dhiya,Ithaar,88,32190-9963095-1,M
89,Dhul Fiqar,Walliyullah,89,32191-9963096-1,M
90,Dilawar,Jibran,90,32192-9963097-1,M
91,Dildar,Utbah,91,32193-9963098-1,M
92,Dinar,Jummal,92,32194-9963099-1,M
93,Diya,Dilawar,93,32195-9963100-1,M
94,Diyari,Nafasat,94,32196-9963101-1,M
95,Dizhwar,Istakhri,95,32197-9963102-1,M
96,Duha,Gamal,96,32198-9963103-1,M
97,Ehan,Haleef,97,32199-9963104-1,M
98,Ehsan,Basil,98,32200-9963105-1,M
99,El-Amin,Ishrat,99,32201-9963106-1,M
100,Emran,Latif,100,32202-9963107-1,M
101,Eshan,Bilal,101,32203-9963108-1,M
102,Ebrahim,Urooj,102,32204-9963109-1,M
103,Eitzaz,Jamal,103,32205-9963110-1,M
104,Esmail,Intizar,104,32206-9963111-1,M
105,Faakhir,Burhan,105,32207-9963112-1,M
106,Faaz,Qadi,106,32208-9963113-1,M
107,Fadi,Qasid,107,32209-9963114-1,M
108,Fadil,Zufar,108,32210-9963115-1,M
109,Fadl,Maaz,109,32211-9963116-1,M
110,Faeq,Inayat,110,32212-9963117-1,M
111,Fahad,Mahdi,111,32213-9963118-1,M
112,Fahd,Nafis,112,32214-9963119-1,M
113,Faheem,Sabah,113,32215-9963120-1,M
114,Fahyim,Zohair,114,32216-9963121-1,M
115,Faiq,Ghauth,115,32217-9963122-1,M
116,Faisal,Majd,116,32218-9963123-1,M
117,Faiz,Qadeer,117,32219-9963124-1,M
118,Faizaan,Deen,118,32220-9963125-1,M
119,Faizan,Zaim,119,32221-9963126-1,M
120,Fajaruddin,Farafisa,120,32222-9963127-1,M
121,Fakeeh,Jahdari,121,32223-9963128-1,M
122,Fakhr,Imran,122,32224-9963129-1,M
123,Fakhri,Rafay,123,32225-9963130-1,M
124,Falah,Zeeshan,124,32226-9963131-1,M
125,Faqeeh,Taha,125,32227-9963132-1,M
126,Farafisa,Qasim,126,32228-9963133-1,M
127,Faraj,Wasim,127,32229-9963134-1,M
128,Farasat,Aaban,128,32230-9963135-1,M
129,Ghadir,Sa’ir,129,32231-9963136-1,M
130,Ghaith,Watheq,130,32232-9963137-1,M
131,Ghalib,Imaad,131,32233-9963138-1,M
132,Ghanem,Wasif,132,32234-9963139-1,M
133,Ghannam,Fahd,133,32235-9963140-1,M
134,Ghasaan,Izzat,134,32236-9963141-1,M
135,Ghauth,Jubair,135,32237-9963142-1,M
136,Ghawth,Waiz,136,32238-9963143-1,M
137,Ghayoor,Nabil,137,32239-9963144-1,M
138,Ghazalan,Careem,138,32240-9963145-1,M
139,Ghazanfar,Aalee,139,32241-9963146-1,M
140,Ghazawan,Kawthar,140,32242-9963147-1,M
141,Ghazi,Raihan,141,32243-9963148-1,M
142,Ghazzal,Zayd,142,32244-9963149-1,M
143,Ghiyath,Tahir,143,32245-9963150-1,M
144,Ghufran,Kafeel,144,32246-9963151-1,M
145,Ghulam,Umran,145,32247-9963152-1,M
146,Ghunayn,Qudamah,146,32248-9963153-1,M
147,Ghusun,Ihsan,147,32249-9963154-1,M
148,Ghutayf,Sabahat,148,32250-9963155-1,M
149,Gohar,Usman,149,32251-9963156-1,M
150,Gulab,Jalees,150,32252-9963157-1,M
151,Gulfam,Obaid,151,32253-9963158-1,M
152,Gulshan,Insaf,152,32254-9963159-1,M
153,Gulzar,Wafa,153,32255-9963160-1,M
154,Gamal,Faiz,154,32256-9963161-1,M
155,Haaziq,Uthman,155,32257-9963162-1,M
156,Habis,Saadat,156,32258-9963163-1,M
157,Hadee,Dawoud,157,32259-9963164-1,M
158,Hafid,Qutaybah,158,32260-9963165-1,M
159,Hafiz,Mahmud,159,32261-9963166-1,M
160,Hafs,Zaeem,160,32262-9963167-1,M
161,Haider,Lutf,161,32263-9963168-1,M
162,Haikal,Raheel,162,32264-9963169-1,M
163,Haji,Wail,163,32265-9963170-1,M
164,Hajib,Parvez,164,32266-9963171-1,M
165,Hajjaj,Ghufran,165,32267-9963172-1,M
166,Hakim,Zakariya,166,32268-9963173-1,M
167,Haleef,Qani,167,32269-9963174-1,M
168,Haleem,Kashif,168,32270-9963175-1,M
169,Hallaj,Zakariyya,169,32271-9963176-1,M
170,Halwani,Sadit,170,32272-9963177-1,M
171,Hamd,Nadeem,171,32273-9963178-1,M
172,Hamdan,Saffar,172,32274-9963179-1,M
173,Ibrahim,Dildar,173,32275-9963180-1,M
174,Idris,Yusr,174,32276-9963181-1,M
175,Ihab,Zubair,175,32277-9963182-1,M
176,Ihsan,Baahir,176,32278-9963183-1,M
177,Ihtiram,Abdul Afuw,177,32279-9963184-1,M
178,Ihtsham,Sabeeh,178,32280-9963185-1,M
179,Ijli,Basir,179,32281-9963186-1,M
180,Ikrimah,Sadiq,180,32282-9963187-1,M
181,Ilan,Urwah,181,32283-9963188-1,M
182,Ilifat,Kamil,182,32284-9963189-1,M
183,Ilyas,Waleed,183,32285-9963190-1,M
184,Imaad,Intaj,184,32286-9963191-1,M
185,Imran,Wali,185,32287-9963192-1,M
186,Imtiaz,Fadl,186,32288-9963193-1,M
187,Inaam,Raghib,187,32289-9963194-1,M
188,Inayat,Labeeb,188,32290-9963195-1,M
189,Insaf,Laith,189,32291-9963196-1,M
190,Intaj,Falah,190,32292-9963197-1,M
191,Intikhab,Wazir,191,32293-9963198-1,M
192,Intizar,Zayan,192,32294-9963199-1,M
193,Iqbal,Cheherazad,193,32295-9963200-1,M
194,Iqraam,Zaman,194,32296-9963201-1,M
195,Iqrit,Kawkab,195,32297-9963202-1,M
196,Iqtidar,Aamir,196,32298-9963203-1,M
197,Irfan,Dizhwar,197,32299-9963204-1,M
198,Isa,Nadim,198,32300-9963205-1,M
199,Isam,Raahil,199,32301-9963206-1,M
200,Ishaq,Yar,200,32302-9963207-1,M
201,Ishrat,Jiyad,201,32303-9963208-1,M
202,Ishtiyaq,Aasim,202,32304-9963209-1,M
203,Iskandar,Rahmat,203,32305-9963210-1,M
204,Islam,Jamil,204,32306-9963211-1,M
205,Isma’il,Rabiah,205,32307-9963212-1,M
206,Ismah,Qais,206,32308-9963213-1,M
207,Issar,Gulzar,207,32309-9963214-1,M
208,Istakhri,Uhban,208,32310-9963215-1,M
209,Ithaar,Damurah,209,32311-9963216-1,M
210,Itimad,Yaqub,210,32312-9963217-1,M
211,Iyaad,Zuhoor,211,32313-9963218-1,M
212,Iyaas,Issar,212,32314-9963219-1,M
213,Izaan,Faakhir,213,32315-9963220-1,M
214,Izz,Safeenah,214,32316-9963221-1,M
215,Izzat,Nabhan,215,32317-9963222-1,M
216,Jaan,Haaziq,216,32318-9963223-1,M
217,Jabir,Iskandar,217,32319-9963224-1,M
218,Jabr,Kamran,218,32320-9963225-1,M
219,Jad,Farasat,219,32321-9963226-1,M
220,Jafar,Diyari,220,32322-9963227-1,M
221,Jahangir,Waseem,221,32323-9963228-1,M
222,Jahanzeb,Ishaq,222,32324-9963229-1,M
223,Jahdami,Layth,223,32325-9963230-1,M
224,Jahdari,Bazam,224,32326-9963231-1,M
225,Jahiz,Hafiz,225,32327-9963232-1,M
226,Jahm,Ghazalan,226,32328-9963233-1,M
227,Jalal,Zaigham,227,32329-9963234-1,M
228,Jalees,Jaraah,228,32330-9963235-1,M
229,Jalil,Dawlah,229,32331-9963236-1,M
230,Jamal,Qamar,230,32332-9963237-1,M
231,Jamil,Daniel,231,32333-9963238-1,M
232,Jaraah,Labib,232,32334-9963239-1,M
233,Jareer,Rafan,233,32335-9963240-1,M
234,Jari,Jahangir,234,32336-9963241-1,M
235,Jariyah,Lahab,235,32337-9963242-1,M
236,Jarood,Saeed,236,32338-9963243-1,M
237,Jasim,Aamil,237,32339-9963244-1,M
238,Jasmir,Wahhaj,238,32340-9963245-1,M
239,Javier,Quadir,239,32341-9963246-1,M
240,Jawad,Liban,240,32342-9963247-1,M
241,Jawdan,Jahdami,241,32343-9963248-1,M
242,Jawhar,Aalim,242,32344-9963249-1,M
243,Jazib,Aashif,243,32345-9963250-1,M
244,Jeelan,Makki,244,32346-9963251-1,M
245,Jibran,Usamah,245,32347-9963252-1,M
246,Jibril,Sabir,246,32348-9963253-1,M
247,Jihad,Ghunayn,247,32349-9963254-1,M
248,Jiyad,Bashaar,248,32350-9963255-1,M
249,Juayl,Saafir,249,32351-9963256-1,M
250,Jubair,Yushua,250,32352-9963257-1,M
251,Juhaym,Rafiq,251,32353-9963258-1,M
252,Juma’,Kazim,252,32354-9963259-1,M
253,Jumanah,Ghannam,253,32355-9963260-1,M
254,Jummal,Wajeeh,254,32356-9963261-1,M
255,Junaid,Nabih,255,32357-9963262-1,M
256,Jul,Yaqoot,256,32358-9963263-1,M
257,Jundub,Owais,257,32359-9963264-1,M
258,Juthamah,Juhaym,258,32360-9963265-1,M
259,Juwain,Darim,259,32361-9963266-1,M
260,Kaamil,Abbad,260,32362-9963267-1,M
261,Kaashif,Iyaas,261,32363-9963268-1,M
262,Kafeel,Madani,262,32364-9963269-1,M
263,Kaiser,Sabur,263,32365-9963270-1,M
264,Kajji,Faaz,264,32366-9963271-1,M
265,Kalbi,Ilan,265,32367-9963272-1,M
266,Kaleem,Qays,266,32368-9963273-1,M
267,Kamal,Rabar,267,32369-9963274-1,M
268,Kamil,Hadee,268,32370-9963275-1,M
269,Kamran,Aaqil,269,32371-9963276-1,M
270,Kasam,Daamin,270,32372-9963277-1,M
271,Kashif,Ghazi,271,32373-9963278-1,M
272,Kasim,Walid,272,32374-9963279-1,M
273,Kawkab,Yahya,273,32375-9963280-1,M
274,Kawthar,Ihtsham,274,32376-9963281-1,M
275,Kaysan,Nadhir,275,32377-9963282-1,M
276,Kazi,Cal,276,32378-9963283-1,M
277,Kazim,Zarar,277,32379-9963284-1,M
278,Keyaan,Gulab,278,32380-9963285-1,M
279,Khadim,Basharat,279,32381-9963286-1,M
280,Khafid,Uqbah,280,32382-9963287-1,M
281,Labeeb,Behzad,281,32383-9963288-1,M
282,Labib,Qatadah,282,32384-9963289-1,M
283,Laiq,Ithaar,283,32385-9963290-1,M
284,Laith,Walliyullah,284,32386-9963291-1,M
285,Lajlaj,Jibran,285,32387-9963292-1,M
286,Laqeet,Utbah,286,32388-9963293-1,M
287,Latif,Jummal,287,32389-9963294-1,M
288,Layth,Dilawar,288,32390-9963295-1,M
289,Liban,Nafasat,289,32391-9963296-1,M
290,Limazah,Istakhri,290,32392-9963297-1,M
291,Liyaqat,Gamal,291,32393-9963298-1,M
292,Luqman,Haleef,292,32394-9963299-1,M
293,Lut,Basil,293,32395-9963300-1,M
294,Lutf,Ishrat,294,32396-9963301-1,M
295,Lutfi,Latif,295,32397-9963302-1,M
296,Lahab,Bilal,296,32398-9963303-1,M
297,Ma’mun,Urooj,297,32399-9963304-1,M
298,Ma’n,Jamal,298,32400-9963305-1,M
299,Maaz,Intizar,299,32401-9963306-1,M
300,Mabad,Burhan,300,32402-9963307-1,M
301,Madani,Qadi,301,32403-9963308-1,M
302,Mahad,Qasid,302,32404-9963309-1,M
303,Mahaz,Zufar,303,32405-9963310-1,M
304,Mahbeer,Maaz,304,32406-9963311-1,M
305,Mahbub,Inayat,305,32407-9963312-1,M
306,Mahd,Mahdi,306,32408-9963313-1,M
307,Mahdi,Nafis,307,32409-9963314-1,M
308,Maheen,Sabah,308,32410-9963315-1,M
309,Maher,Zohair,309,32411-9963316-1,M
310,Mahfuz,Ghauth,310,32412-9963317-1,M
311,Mahja,Majd,311,32413-9963318-1,M
312,Mahmud,Qadeer,312,32414-9963319-1,M
313,Majd,Deen,313,32415-9963320-1,M
314,Majdi,Zaim,314,32416-9963321-1,M
315,Micronesia,Farafisa,315,32417-9963322-1,M
316,Makhdoom,Jahdari,316,32418-9963323-1,M
317,Makki,Imran,317,32419-9963324-1,M
318,Malih,Rafay,318,32420-9963325-1,M
319,Malik,Zeeshan,319,32421-9963326-1,M
320,Mamduh,Taha,320,32422-9963327-1,M
321,Mamoon,Qasim,321,32423-9963328-1,M
322,Na’il,Wasim,322,32424-9963329-1,M
323,Naadir,Aaban,323,32425-9963330-1,M
324,Nabeel,Sa’ir,324,32426-9963331-1,M
325,Nabhan,Watheq,325,32427-9963332-1,M
326,Nabigh,Imaad,326,32428-9963333-1,M
327,Nabih,Wasif,327,32429-9963334-1,M
328,Nabil,Fahd,328,32430-9963335-1,M
329,Nadeem,Izzat,329,32431-9963336-1,M
330,Nadhir,Jubair,330,32432-9963337-1,M
331,Nadim,Waiz,331,32433-9963338-1,M
332,Nadir,Nabil,332,32434-9963339-1,M
333,Nadr,Careem,333,32435-9963340-1,M
334,Naeem,Aalee,334,32436-9963341-1,M
335,Nafasat,Kawthar,335,32437-9963342-1,M
336,Nafis,Raihan,336,32438-9963343-1,M
337,Naib,Zayd,337,32439-9963344-1,M
338,Naim,Tahir,338,32440-9963345-1,M
339,Obaid,Kafeel,339,32441-9963346-1,M
340,Omar,Umran,340,32442-9963347-1,M
341,Osama,Qudamah,341,32443-9963348-1,M
342,Owais,Ihsan,342,32444-9963349-1,M
343,Omran,Sabahat,343,32445-9963350-1,M
344,Parvez,Usman,344,32446-9963351-1,M
345,Pervaiz,Jalees,345,32447-9963352-1,M
346,Paki (Egyptian),Obaid,346,32448-9963353-1,M
347,Qabeel,Insaf,347,32449-9963354-1,M
348,Qadeer,Wafa,348,32450-9963355-1,M
349,Qadi,Faiz,349,32451-9963356-1,M
350,Qadim,Uthman,350,32452-9963357-1,M
351,Qaim,Saadat,351,32453-9963358-1,M
352,Qais,Dawoud,352,32454-9963359-1,M
353,Qutuz,Qutaybah,353,32455-9963360-1,M
354,Qamar,Mahmud,354,32456-9963361-1,M
355,Qani,Zaeem,355,32457-9963362-1,M
356,Qanit,Lutf,356,32458-9963363-1,M
357,Qareeb,Raheel,357,32459-9963364-1,M
358,Qaseem,Wail,358,32460-9963365-1,M
359,Qasid,Parvez,359,32461-9963366-1,M
360,Qasif,Ghufran,360,32462-9963367-1,M
361,Qasim,Zakariya,361,32463-9963368-1,M
362,Qatadah,Qani,362,32464-9963369-1,M
363,Qays,Kashif,363,32465-9963370-1,M
364,Quadir,Zakariyya,364,32466-9963371-1,M
365,Qudamah,Sadit,365,32467-9963372-1,M
366,Qurban,Nadeem,366,32468-9963373-1,M
367,Qusay,Saffar,367,32469-9963374-1,M
368,Qutaybah,Dildar,368,32470-9963375-1,M
369,Qutb,Yusr,369,32471-9963376-1,M
370,Ra’id,Zubair,370,32472-9963377-1,M
371,Raahil,Baahir,371,32473-9963378-1,M
372,Raashid,Abdul Afuw,372,32474-9963379-1,M
373,Rabah,Sabeeh,373,32475-9963380-1,M
374,Rabar,Basir,374,32476-9963381-1,M
375,Rabbani,Sadiq,375,32477-9963382-1,M
376,Rabee,Urwah,376,32478-9963383-1,M
377,Rabi’,Kamil,377,32479-9963384-1,M
378,Rabiah,Waleed,378,32480-9963385-1,M
379,Rabit,Intaj,379,32481-9963386-1,M
380,Radi,Wali,380,32482-9963387-1,M
381,Raees,Fadl,381,32483-9963388-1,M
382,Rafan,Raghib,382,32484-9963389-1,M
383,Rafay,Labeeb,383,32485-9963390-1,M
384,Rafee,Laith,384,32486-9963391-1,M
385,Rafeek,Falah,385,32487-9963392-1,M
386,Rafi,Wazir,386,32488-9963393-1,M
387,Rafiq,Zayan,387,32489-9963394-1,M
388,Raghib,Cheherazad,388,32490-9963395-1,M
389,Rahat,Zaman,389,32491-9963396-1,M
390,Raheel,Kawkab,390,32492-9963397-1,M
391,Raheesh,Aamir,391,32493-9963398-1,M
392,Rahil,Dizhwar,392,32494-9963399-1,M
393,Rahim,Nadim,393,32495-9963400-1,M
394,Rahmat,Raahil,394,32496-9963401-1,M
395,Raihan,Yar,395,32497-9963402-1,M
396,Rajaa,Jiyad,396,32498-9963403-1,M
397,Sa’d,Aasim,397,32499-9963404-1,M
398,Sa’dan,Rahmat,398,32500-9963405-1,M
399,Sa’id,Jamil,399,32501-9963406-1,M
400,Sa’im,Rabiah,400,32502-9963407-1,M
401,Sa’ir,Qais,401,32503-9963408-1,M
402,Sa’irah,Gulzar,402,32504-9963409-1,M
403,Sa’ood,Uhban,403,32505-9963410-1,M
404,Saad,Damurah,404,32506-9963411-1,M
405,Saadat,Yaqub,405,32507-9963412-1,M
406,Saafir,Zuhoor,406,32508-9963413-1,M
407,Saaqib,Issar,407,32509-9963414-1,M
408,Sabah,Faakhir,408,32510-9963415-1,M
409,Sabahat,Safeenah,409,32511-9963416-1,M
410,Sabeeh,Nabhan,410,32512-9963417-1,M
411,Sabir,Haaziq,411,32513-9963418-1,M
412,Sabur,Iskandar,412,32514-9963419-1,M
413,Saburah,Kamran,413,32515-9963420-1,M
414,Sadaqat,Farasat,414,32516-9963421-1,M
415,Sadeed,Diyari,415,32517-9963422-1,M
416,Sadeem,Waseem,416,32518-9963423-1,M
417,Sadiq,Ishaq,417,32519-9963424-1,M
418,Sadit,Layth,418,32520-9963425-1,M
419,Saeed,Bazam,419,32521-9963426-1,M
420,Safeenah,Hafiz,420,32522-9963427-1,M
421,Safeer,Ghazalan,421,32523-9963428-1,M
422,Saffar,Zaigham,422,32524-9963429-1,M
423,Safiy-Allah,Jaraah,423,32525-9963430-1,M
424,Taban,Dawlah,424,32526-9963431-1,M
425,Tabassum,Qamar,425,32527-9963432-1,M
426,Tabish,Daniel,426,32528-9963433-1,M
427,Taha,Labib,427,32529-9963434-1,M
428,Tahawwur,Rafan,428,32530-9963435-1,M
429,Taheem,Jahangir,429,32531-9963436-1,M
430,Tahir,Lahab,430,32532-9963437-1,M
431,Tahoor,Saeed,431,32533-9963438-1,M
432,Tahseen,Aamil,432,32534-9963439-1,M
433,Taimur,Wahhaj,433,32535-9963440-1,M
434,Taj,Quadir,434,32536-9963441-1,M
435,Tajammal,Liban,435,32537-9963442-1,M
436,Ubadah,Jahdami,436,32538-9963443-1,M
437,Ubayd,Aalim,437,32539-9963444-1,M
438,Ubaydullah,Aashif,438,32540-9963445-1,M
439,Uhban,Makki,439,32541-9963446-1,M
440,Ulfat,Usamah,440,32542-9963447-1,M
441,Umair,Sabir,441,32543-9963448-1,M
442,Umar,Ghunayn,442,32544-9963449-1,M
443,Umarah,Bashaar,443,32545-9963450-1,M
444,Umayr,Saafir,444,32546-9963451-1,M
445,Umayyah,Yushua,445,32547-9963452-1,M
446,Umran,Rafiq,446,32548-9963453-1,M
447,Unays,Kazim,447,32549-9963454-1,M
448,Uqbah,Ghannam,448,32550-9963455-1,M
449,Urfee,Wajeeh,449,32551-9963456-1,M
450,Urooj,Nabih,450,32552-9963457-1,M
451,Urwah,Yaqoot,451,32553-9963458-1,M
452,Usamah,Owais,452,32554-9963459-1,M
453,Usayd,Juhaym,453,32555-9963460-1,M
454,Usman,Darim,454,32556-9963461-1,M
455,Utbah,Abbad,455,32557-9963462-1,M
456,Uthman,Iyaas,456,32558-9963463-1,M
457,Uwayam,Madani,457,32559-9963464-1,M
458,Uzair,Sabur,458,32560-9963465-1,M
459,Uzayr,Faaz,459,32561-9963466-1,M
460,Muslim Boy New Names,Ilan,460,32562-9963467-1,M
461,Waa’il,Qays,461,32563-9963468-1,M
462,Wadi,Rabar,462,32564-9963469-1,M
463,Wafa,Hadee,463,32565-9963470-1,M
464,Wafi,Aaqil,464,32566-9963471-1,M
465,Wafiq,Daamin,465,32567-9963472-1,M
466,Wahb,Ghazi,466,32568-9963473-1,M
467,Waheed,Walid,467,32569-9963474-1,M
468,Wahhaj,Yahya,468,32570-9963475-1,M
469,Wahib,Ihtsham,469,32571-9963476-1,M
470,Wahid,Nadhir,470,32572-9963477-1,M
471,Wail,Cal,471,32573-9963478-1,M
472,Waiz,Zarar,472,32574-9963479-1,M
473,Wajahat,Gulab,473,32575-9963480-1,M
474,Wajeeh,Basharat,474,32576-9963481-1,M
475,Wajid,Uqbah,475,32577-9963482-1,M
476,Wajih,Behzad,476,32578-9963483-1,M
477,Wakalat,Qatadah,477,32579-9963484-1,M
478,Wakeel,Ithaar,478,32580-9963485-1,M
479,Waleed,Walliyullah,479,32581-9963486-1,M
480,Wali,Jibran,480,32582-9963487-1,M
481,Walid,Utbah,481,32583-9963488-1,M
482,Waqaar,Jummal,482,32584-9963489-1,M
483,Waqar,Dilawar,483,32585-9963490-1,M
484,Waqas,Nafasat,484,32586-9963491-1,M
485,Wasay,Istakhri,485,32587-9963492-1,M
486,Waseem,Gamal,486,32588-9963493-1,M
487,Wasif,Haleef,487,32589-9963494-1,M
488,Wasil,Basil,488,32590-9963495-1,M
489,Wasim,Ishrat,489,32591-9963496-1,M
490,Watheq,Latif,490,32592-9963497-1,M
491,Wazir,Bilal,491,32593-9963498-1,M
492,Wildan,Urooj,492,32594-9963499-1,M
493,Wisam,Jamal,493,32595-9963500-1,M
494,Walliyullah,Intizar,494,32596-9963501-1,M
495,Yafi,Burhan,495,32597-9963502-1,M
496,Yaghnam,Qadi,496,32598-9963503-1,M
497,Yahya,Qasid,497,32599-9963504-1,M
498,Yaman,Zufar,498,32600-9963505-1,M
499,Yaqeen,Maaz,499,32601-9963506-1,M
500,Yaqoot,Inayat,500,32602-9963507-1,M
501,Yaqub,Mahdi,501,32603-9963508-1,M
502,Yar,Nafis,502,32604-9963509-1,M
503,Yaseen,Sabah,503,32605-9963510-1,M
504,Yasir,Zohair,504,32606-9963511-1,M
505,Yathrib,Ghauth,505,32607-9963512-1,M
506,Yawar,Majd,506,32608-9963513-1,M
507,Yuhannis,Qadeer,507,32609-9963514-1,M
508,Yunus,Deen,508,32610-9963515-1,M
509,Yusr,Zaim,509,32611-9963516-1,M
510,Yusuf,Farafisa,510,32612-9963517-1,M
511,Yazid,Jahdari,511,32613-9963518-1,M
512,Yushua,Imran,512,32614-9963519-1,M
513,Zaeem,Rafay,513,32615-9963520-1,M
514,Zafar,Zeeshan,514,32616-9963521-1,M
515,Zafir,Taha,515,32617-9963522-1,M
516,Zahir,Qasim,516,32618-9963523-1,M
517,Zaigham,Wasim,517,32619-9963524-1,M
518,Zaighum,Aaban,518,32620-9963525-1,M
519,Zaim,Sa’ir,519,32621-9963526-1,M
520,Zain,Watheq,520,32622-9963527-1,M
521,Zakar,Imaad,521,32623-9963528-1,M
522,Zakariya,Wasif,522,32624-9963529-1,M
523,Zakariyya,Fahd,523,32625-9963530-1,M
524,Zaki,Izzat,524,32626-9963531-1,M
525,Zakir,Jubair,525,32627-9963532-1,M
526,Zaman,Waiz,526,32628-9963533-1,M
527,Zameer,Nabil,527,32629-9963534-1,M
528,Zamil,Careem,528,32630-9963535-1,M
529,Zarar,Aalee,529,32631-9963536-1,M
530,Zaroon,Kawthar,530,32632-9963537-1,M
531,Zarrar,Raihan,531,32633-9963538-1,M
532,Zayan,Zayd,532,32634-9963539-1,M
533,Zayd,Tahir,533,32635-9963540-1,M
534,Zebadiyah,Kafeel,534,32636-9963541-1,M
535,Zeeshan,Umran,535,32637-9963542-1,M
536,Zia,Qudamah,536,32638-9963543-1,M
537,Ziaud,Ihsan,537,32639-9963544-1,M
538,Ziyad,Sabahat,538,32640-9963545-1,M
539,Zohair,Usman,539,32641-9963546-1,M
540,Zubair,Jalees,540,32642-9963547-1,M
541,Zuehb,Obaid,541,32643-9963548-1,M
